freq,unit,category,sex,geo\TIME_PERIOD	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 	2023 	2024 
A,RT_UNE,HRSTU,M,FI	: 	7.7 	6.9 	3.8 	3.9 b	2.5 	3.2 b	2.8 	2.8 	3.2 	3.1 	2.9 b	2.3 	2.5 b	2.1 b	3.0 	3.5 	3.1 b	3.2 	3.6 	4.2 b	4.7 	4.5 	3.8 	3.0 	3.2 	3.1 	3.7 b	3.2 	3.1 	3.6 
A,RT_UNE,HRSTU,M,FR	4.0 	4.3 	3.7 	4.2 	4.1 b	3.8 	3.3 	2.9 	3.8 	3.7 b	4.1 	3.9 b	3.9 b	3.6 	2.8 	3.7 	3.7 	3.3 b	3.6 	4.2 b	4.5 b	4.7 	4.0 	3.6 	4.0 	4.0 	4.0 	4.4 bd	3.9 d	4.1 d	4.2 d
A,RT_UNE,HRSTU,M,HR	: 	: 	: 	: 	: 	: 	: 	: 	6.1 u	4.3 bu	5.5 u	3.9 bu	3.1 bu	3.5 u	2.6 u	3.2 u	5.2 b	5.8 b	6.6 b	6.8 	6.2 b	6.5 	4.9 	5.2 	3.7 	2.9 u	3.1 u	3.1 bu	3.3 u	1.9 u	2.6 u
A,RT_UNE,HRSTU,M,HU	: 	: 	: 	0.8 u	1.6 b	1.0 u	1.0 	0.7 bu	0.8 u	0.9 u	1.1 	1.6 b	1.9 	1.7 	1.6 	2.7 	3.7 	3.0 b	3.1 	2.5 	2.1 b	1.7 	1.3 	1.0 	0.9 b	1.1 	1.1 	1.2 b	1.0 	1.2 	1.5 
A,RT_UNE,HRSTU,M,IE	4.8 	3.9 	3.7 	3.0 	: 	1.3 u	1.1 u	1.1 u	2.0 	2.3 	1.8 	1.9 b	2.1 	1.9 b	2.9 	6.1 	6.9 	6.6 b	6.4 	5.8 	5.3 b	4.4 	4.1 	3.2 b	3.1 	2.7 	3.4 	3.7 b	2.5 	2.4 	2.7 
A,RT_UNE,HRSTU,M,IS	: 	: 	: 	: 	: 	: u	: 	: u	: u	: bu	: u	: bu	: u	: u	: u	3.1 	3.0 	3.4 b	2.5 	1.8 	1.7 b	1.4 	: u	1.2 	1.5 	1.8 	3.0 b	3.0 b	1.8 	2.4 	1.9 
A,RT_UNE,HRSTU,M,IT	1.6 	1.8 	2.0 	2.2 	2.1 b	2.1 	1.6 	1.6 	1.6 	1.6 	1.5 b	2.0 b	1.6 	1.3 	1.5 	1.9 	2.1 	1.9 b	2.6 	2.8 	3.2 b	2.8 	2.7 	2.7 	2.4 b	2.5 	2.3 	2.4 b	1.8 	1.8 	1.6 
A,RT_UNE,HRSTU,M,LT	: 	: 	: 	: 	9.0 b	7.4 	10.4 b	8.2 	4.7 bu	5.8 u	5.6 u	3.4 bu	: u	: u	: u	7.1 	7.7 	6.6 b	5.4 	4.1 	3.6 b	2.9 	2.7 	2.8 	2.6 	2.9 	3.8 	3.9 b	3.3 	3.4 	4.0 
A,RT_UNE,HRSTU,M,LU	1.9 u	: u	: u	: u	: 	: u	: u	: u	: u	1.8 bu	2.0 u	2.2 b	1.6 u	1.9 bu	1.2 u	2.6 b	2.1 	2.1 b	2.2 	2.7 	3.1 b	3.1 b	2.7 	1.9 	3.0 	2.8 	3.1 	2.5 b	2.7 	3.4 	3.7 
A,RT_UNE,HRSTU,M,LV	: 	: 	: 	: 	5.3 b	5.2 	4.9 	: u	: bu	: u	: u	3.4 b	2.4 	2.4 	2.4 	5.9 	8.5 	6.3 b	5.5 	4.2 	3.8 b	3.1 	3.6 	3.0 	3.3 	3.3 	4.9 	4.0 b	3.6 	2.6 	3.2 
A,RT_UNE,HRSTU,M,ME	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.6 b	8.2 	7.8 	7.6 b	7.7 	9.9 	8.2 	8.5 	10.3 	10.7 	: 	: 	: 	: 
A,RT_UNE,HRSTU,M,MK	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	14.6 	13.8 	14.9 	14.2 	15.6 	15.4 b	14.9 	15.3 	15.7 b	15.6 	14.6 	12.5 	11.9 	10.5 	9.8 	8.6 b	8.1 	7.0 	4.3 
A,RT_UNE,HRSTU,M,MT	: 	: 	: 	: 	: 	: 	: u	: u	: 	: u	: bu	: bu	: u	: u	: u	: u	: u	: bu	1.0 u	1.4 u	1.5 bu	: u	: u	1.2 u	1.4 u	1.7 	2.4 	0.9 bu	1.8 	1.7 u	1.7 
A,RT_UNE,HRSTU,M,NL	: 	: 	2.4 	2.0 	1.0 b	0.9 	0.9 	0.9 	1.1 	1.7 	2.0 	2.1 b	1.7 b	1.3 	1.2 	1.7 	1.9 	1.9 b	2.1 	2.7 b	2.6 b	2.5 	2.2 	1.9 	1.7 	1.6 b	1.7 	2.0 b	1.8 	1.7 	1.8 
A,RT_UNE,HRSTU,M,NO	: 	: 	2.1 	2.1 	1.6 b	1.6 	2.0 	1.9 	1.9 	2.2 b	2.4 	1.9 b	1.5 b	1.2 	0.9 	1.1 	1.3 	1.1 b	1.5 	1.4 	1.5 b	2.0 	2.6 	2.0 	1.9 	1.8 	2.4 	2.0 b	1.3 	1.7 	2.2 
A,RT_UNE,HRSTU,M,PL	: 	: 	: 	1.9 	1.1 b	1.6 	2.9 b	2.4 b	3.2 	4.1 b	4.3 b	4.3 b	3.8 	2.7 	2.4 	3.0 	3.5 b	3.4 b	3.7 	3.7 	3.0 b	2.7 	2.2 	1.7 	1.6 	1.4 b	1.4 	1.2 b	1.0 	1.0 	1.0 
A,RT_UNE,HRSTU,M,PT	1.6 	2.6 	2.4 	1.7 	: bu	: u	: u	: u	: u	2.2 	2.4 b	3.1 b	2.9 	3.2 	2.9 	3.9 	3.7 	5.9 b	7.2 	6.7 	5.2 b	5.5 	5.2 	4.1 	3.3 	3.2 	4.4 	4.2 b	3.0 	3.2 	3.3 
A,RT_UNE,HRSTU,M,RO	: 	: 	: 	1.5 	1.3 bu	1.6 u	2.6 	2.4 	2.5 b	2.4 b	2.3 	2.4 b	2.3 	2.0 	1.9 	3.2 	3.6 b	3.3 b	3.7 	4.2 	4.6 b	3.2 	2.5 	2.3 	1.8 	1.3 	1.6 	1.8 b	1.7 	1.4 	1.3 
A,RT_UNE,HRSTU,M,RS	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	9.0 	15.8 b	16.0 	13.1 	10.0 b	10.8 	9.9 	8.6 	7.0 	5.9 	5.8 	5.6 b	4.1 	4.4 	4.7 
A,RT_UNE,HRSTU,M,SE	: 	4.3 	4.8 	3.2 	3.3 b	3.2 	2.4 	1.3 b	1.8 	2.6 	2.6 	2.8 b	2.8 b	2.3 	2.2 	3.1 	3.2 	3.0 b	3.1 	3.0 	3.2 b	3.2 	3.1 	3.1 	2.9 b	2.8 	3.4 	3.2 b	2.3 	2.7 	3.3 
A,RT_UNE,HRSTU,M,SI	: 	: 	1.7 u	1.7 u	1.9 bu	1.7 u	: u	1.0 u	0.9 u	2.1 u	1.3 u	1.9 bu	1.5 u	1.6 u	1.8 u	1.9 u	2.6 	3.2 b	3.1 	3.4 	3.1 b	3.3 	4.0 	3.0 	1.9 	1.6 u	2.2 	2.3 b	2.0 u	1.5 bu	0.9 u
A,RT_UNE,HRSTU,M,SK	: 	: 	: 	: 	1.2 bu	2.0 b	3.1 	3.1 b	1.8 	2.0 b	3.3 	2.7 b	1.5 	1.7 	1.7 	2.3 	3.8 	3.2 b	3.9 	4.2 	3.5 b	3.4 	3.3 	2.2 	1.7 	1.5 	2.3 	1.8 bu	1.5 u	1.1 u	: u
A,RT_UNE,HRSTU,M,TR	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	: 	4.7 	4.8 	5.4 	6.7 	5.7 	5.5 b	5.2 b	5.5 	6.2 b	6.2 	7.3 	7.2 	7.5 	8.7 	8.7 	8.1 b	7.3 	5.8 	5.4 
A,RT_UNE,HRSTU,M,UK	3.8 	3.6 	3.6 	2.7 	: 	1.9 b	1.6 	1.5 b	1.8 	1.8 	2.0 b	2.1 b	2.1 	2.0 b	2.2 b	3.5 	3.5 b	3.3 b	3.2 	3.1 	2.4 b	2.2 	2.1 	2.0 	2.0 	2.0 	: 	: 	: 	: 	: 
